,customer_id,home_store,gender,customer_first-name,birthdate,customer_email,customer_since,loyalty_card_number,frequency,monetary,transaction_datetime,recency,avg_buy,product_category,product_type
0,1,3,M,Kelly Key,5/29/1950,Venus@adipiscing.edu,1/4/2017,908-424-2890,4.791208791208791,333.0,2022-04-29 19:41:00,0,3.619565217391304,Coffee,Gourmet brewed coffee
1,2,3,M,Clark Schroeder,7/30/1950,Nora@fames.gov,1/7/2017,032-732-6308,1.6265560165975104,1021.65,2022-04-26 08:21:00,3,4.221694214876033,Tea,Brewed Black tea
2,3,3,M,Elvis Cardenas,9/30/1950,Brianna@tellus.edu,1/10/2017,459-375-9187,1.0805555555555555,2082.15,2022-04-24 14:14:00,5,5.767728531855956,Tea,Brewed Chai tea
3,4,3,M,Rafael Estes,12/1/1950,Ina@non.gov,1/13/2017,576-640-9226,4.574468085106383,314.75,2022-04-26 08:42:00,3,3.3131578947368423,Coffee,Brewed Chai tea
4,5,3,M,Colin Lynn,2/1/1951,Dale@Integer.com,1/15/2017,344-674-6569,6.357142857142857,276.0,2022-04-29 07:36:00,0,3.887323943661972,Coffee,Hot chocolate
5,6,3,M,Igor Beach,4/4/1951,Caleb@morbi.net,1/18/2017,114-126-1992,3.0434782608695654,511.8,2022-04-21 16:15:00,8,3.682014388489209,Coffee,Gourmet brewed coffee
6,7,3,M,Scott Holden,6/5/1951,Yen@Integer.edu,1/21/2017,384-074-3606,3.775862068965517,595.1,2022-04-28 08:56:00,1,5.086324786324787,Coffee,Barista Espresso
7,8,3,M,Keegan Ayala,8/7/1951,Tana@sociis.com,1/24/2017,257-308-7675,3.3053435114503817,631.05,2022-04-26 14:33:00,3,4.780681818181818,Tea,Brewed herbal tea
8,9,3,M,Amir Byers,10/8/1951,Madeson@malesuada.us,1/26/2017,931-925-0273,3.1194029850746268,627.15,2022-04-26 12:24:00,3,4.645555555555555,Coffee,Gourmet brewed coffee
9,10,3,M,Magee Malone,12/9/1951,Anjolie@sapien.gov,1/29/2017,359-150-6747,3.5491803278688523,504.2,2022-04-29 19:00:00,0,4.099186991869918,Tea,Brewed herbal tea
10,11,3,M,Dolan Petty,2/9/1952,Kim@convallis.edu,2/1/2017,547-881-4488,3.680672268907563,494.35,2022-04-28 19:13:00,1,4.119583333333334,Coffee,Gourmet brewed coffee
11,12,3,M,Wang Hebert,4/11/1952,Hollee@lorem.net,2/4/2017,605-014-6218,3.8559322033898304,431.25,2022-04-27 19:20:00,2,3.6239495798319328,Coffee,Drip coffee
12,13,3,M,Wayne David,6/12/1952,Slade@sapien.edu,2/6/2017,430-935-8698,6.630769230769231,281.4,2022-04-22 08:23:00,7,4.263636363636364,Coffee,Drip coffee
13,14,3,M,Colin Fernandez,8/13/1952,Thaddeus@non.com,2/9/2017,703-178-5883,2.972413793103448,483.7,2022-04-29 19:54:00,0,3.313013698630137,Coffee,Regular syrup
14,15,3,M,Holmes Blankenship,10/15/1952,Marvin@accumsan.us,2/12/2017,959-439-4036,2.136125654450262,767.65,2022-04-21 09:05:00,8,3.998177083333333,Coffee,Organic brewed coffee
15,16,3,M,Ali French,12/16/1952,Uriah@magnis.org,2/15/2017,169-057-5893,2.6862745098039214,832.25,2022-04-26 15:04:00,3,5.404220779220779,Coffee,Barista Espresso
16,17,3,M,Josiah Burton,2/16/1953,Sacha@Nullam.edu,2/17/2017,373-811-5424,22.95,65.10000000000001,2022-04-19 10:05:00,10,3.1000000000000005,Tea,Brewed Chai tea
17,18,3,M,Drew Skinner,4/19/1953,Rashad@faucibus.net,2/20/2017,981-655-9539,3.4959349593495936,536.65,2022-04-21 08:29:00,8,4.327822580645161,Coffee,Pastry
18,19,3,M,Henry Wilcox,6/20/1953,Dexter@nisl.gov,2/23/2017,833-172-4578,5.766233766233766,344.2,2022-04-24 08:32:00,5,4.412820512820512,Coffee,Hot chocolate
19,20,3,M,Nathan Riggs,8/21/1953,Iris@aptent.com,2/26/2017,639-354-7929,4.047169811320755,485.0,2022-04-27 07:35:00,2,4.532710280373832,Coffee,Gourmet brewed coffee
20,21,3,M,Mufutau Rosa,10/22/1953,Haviva@inceptos.gov,2/28/2017,097-053-2704,7.533333333333333,261.0,2022-04-29 08:26:00,0,4.278688524590164,Coffee,Brewed Black tea
21,22,3,M,Channing Larson,12/23/1953,Marny@dis.edu,3/3/2017,238-527-1012,1.476534296028881,1295.35,2022-04-29 16:51:00,0,4.659532374100719,Tea,Brewed Chai tea
